ADAL,boundary
ADEL,trans
ADFL,boundary
ADLL,boundary
AFDL,single
AIAL,single
AIBL,trans
AIML,single
AINL,single
AIYL,single
AIZL,trans
ALA,single
ALML,trans
ALNL,boundary
AQR,single
ASEL,single
ASGL,single
ASHL,boundary
ASIL,single
ASJL,single
ASKL,single
AUAL,single
AVAL,trans
AVBL,single
AVDL,trans
AVEL,trans
AVFL,boundary
AVHL,boundary
AVJL,single
AVKL,boundary
AVL,single
AVM,single
AWAL,single
AWBL,single
AWCL,single
BAGL,trans
BDUL,single
CEPDL,boundary
CEPVL,boundary
DVA,boundary
DVC,single
FLPL,boundary
IL1DL,single
IL1L,single
IL1VL,single
IL2DL,single
IL2L,single
IL2VL,single
OLLL,single
OLQDL,single
OLQVL,single
PVCL,single
PVPL,single
PVQL,single
PVT,single
RIAL,trans
RIBL,trans
RICL,trans
RID,boundary
RIFL,boundary
RIGL,boundary
RIH,trans
RIML,trans
RIPL,single
RIR,trans
RIS,trans
RIVL,boundary
RMDDL,trans
RMDL,boundary
RMDVL,trans
RMED,trans
RMEL,single
RMEV,trans
RMFL,trans
RMGL,trans
RMHL,trans
SAADL,boundary
SAAVL,single
SDQL,boundary
SIADL,boundary
SIAVL,trans
SIBDL,single
SIBVL,boundary
SMBDL,boundary
SMBVL,trans
SMDDL,boundary
SMDVL,boundary
URADL,single
URAVL,single
URBL,single
URXL,trans
URYDL,single
URYVL,boundary
