ADAL,boundary
ADEL,trans
ADFL,boundary
ADLL,boundary
AFDL,single
AIAL,single
AIBL,trans
AIML,single
AINL,single
AIYL,single
AIZL,trans
ALA,single
ALML,trans
ALNL,single
AQR,single
ASEL,single
ASGL,single
ASHL,boundary
ASIL,single
ASJL,single
ASKL,single
AUAL,single
AVAL,trans
AVBL,boundary
AVDL,boundary
AVEL,trans
AVFL,boundary
AVHL,boundary
AVJL,single
AVKL,single
AVL,single
AVM,single
AWAL,single
AWBL,single
AWCL,single
BAGL,trans
BDUL,single
CEPDL,boundary
CEPVL,boundary
DVA,boundary
DVC,single
FLPL,boundary
IL1DL,single
IL1L,single
IL1VL,single
IL2DL,single
IL2L,single
IL2VL,single
OLLL,single
OLQDL,single
OLQVL,single
PVCL,single
PVPL,single
PVQL,single
PVT,single
RIAL,trans
RIBL,trans
RICL,boundary
RID,trans
RIFL,boundary
RIGL,single
RIH,trans
RIML,trans
RIPL,single
RIR,trans
RIS,trans
RIVL,boundary
RMDDL,trans
RMDL,trans
RMDVL,trans
RMED,trans
RMEL,single
RMEV,trans
RMFL,trans
RMGL,trans
RMHL,boundary
SAADL,single
SAAVL,single
SDQL,single
SIADL,single
SIAVL,single
SIBDL,single
SIBVL,boundary
SMBDL,boundary
SMBVL,trans
SMDDL,single
SMDVL,boundary
URADL,single
URAVL,single
URBL,boundary
URXL,trans
URYDL,single
URYVL,boundary
