Comparison,Network,Edge threshold,Measure,Cell,Jaccard Distance
Adult L/R,all,all,homologous,ADAL,0.6966292134831461
Adult L/R,all,all,homologous,ADEL,0.7083333333333334
Adult L/R,all,all,homologous,ADFL,0.6938775510204082
Adult L/R,all,all,homologous,ADLL,0.6266666666666667
Adult L/R,all,all,homologous,AFDL,0.65625
Adult L/R,all,all,homologous,AIAL,0.574468085106383
Adult L/R,all,all,homologous,AIBL,0.7604166666666666
Adult L/R,all,all,homologous,AIML,0.631578947368421
Adult L/R,all,all,homologous,AINL,0.7058823529411765
Adult L/R,all,all,homologous,AIYL,0.5238095238095238
Adult L/R,all,all,homologous,AIZL,0.7
Adult L/R,all,all,homologous,ALML,0.56
Adult L/R,all,all,homologous,ALNL,0.5909090909090909
Adult L/R,all,all,homologous,ASEL,0.6451612903225806
Adult L/R,all,all,homologous,ASGL,0.6176470588235294
Adult L/R,all,all,homologous,ASHL,0.7169811320754716
Adult L/R,all,all,homologous,ASIL,0.7045454545454546
Adult L/R,all,all,homologous,ASJL,0.6956521739130435
Adult L/R,all,all,homologous,ASKL,0.4888888888888889
Adult L/R,all,all,homologous,AUAL,0.6792452830188679
Adult L/R,all,all,homologous,AVAL,0.7452830188679245
Adult L/R,all,all,homologous,AVBL,0.7102803738317757
Adult L/R,all,all,homologous,AVDL,0.7254901960784313
Adult L/R,all,all,homologous,AVEL,0.6571428571428571
Adult L/R,all,all,homologous,AVFL,0.43243243243243246
Adult L/R,all,all,homologous,AVHL,0.6764705882352942
Adult L/R,all,all,homologous,AVJL,0.6507936507936508
Adult L/R,all,all,homologous,AVKL,0.611764705882353
Adult L/R,all,all,homologous,AWAL,0.6153846153846154
Adult L/R,all,all,homologous,AWBL,0.6415094339622641
Adult L/R,all,all,homologous,AWCL,0.5909090909090909
Adult L/R,all,all,homologous,BAGL,0.7794117647058824
Adult L/R,all,all,homologous,BDUL,0.5777777777777777
Adult L/R,all,all,homologous,CEPDL,0.796875
Adult L/R,all,all,homologous,CEPVL,0.75
Adult L/R,all,all,homologous,FLPL,0.4423076923076923
Adult L/R,all,all,homologous,IL1DL,0.6862745098039216
Adult L/R,all,all,homologous,IL1L,0.8913043478260869
Adult L/R,all,all,homologous,IL1VL,0.6170212765957447
Adult L/R,all,all,homologous,IL2DL,0.7659574468085106
Adult L/R,all,all,homologous,IL2L,0.7380952380952381
Adult L/R,all,all,homologous,IL2VL,0.7073170731707317
Adult L/R,all,all,homologous,OLLL,0.7777777777777778
Adult L/R,all,all,homologous,OLQDL,0.7192982456140351
Adult L/R,all,all,homologous,OLQVL,0.7692307692307693
Adult L/R,all,all,homologous,PVCL,0.5384615384615384
Adult L/R,all,all,homologous,PVPL,0.58
Adult L/R,all,all,homologous,PVQL,0.45714285714285713
Adult L/R,all,all,homologous,RIAL,0.7906976744186046
Adult L/R,all,all,homologous,RIBL,0.8311688311688312
Adult L/R,all,all,homologous,RICL,0.7692307692307693
Adult L/R,all,all,homologous,RIFL,0.6231884057971014
Adult L/R,all,all,homologous,RIGL,0.7692307692307693
Adult L/R,all,all,homologous,RIML,0.7386363636363636
Adult L/R,all,all,homologous,RIPL,0.6086956521739131
Adult L/R,all,all,homologous,RIVL,0.8072289156626506
Adult L/R,all,all,homologous,RMDDL,0.7236842105263158
Adult L/R,all,all,homologous,RMDL,0.7341772151898734
Adult L/R,all,all,homologous,RMDVL,0.6533333333333333
Adult L/R,all,all,homologous,RMEL,0.7446808510638298
Adult L/R,all,all,homologous,RMFL,0.5
Adult L/R,all,all,homologous,RMGL,0.7638888888888888
Adult L/R,all,all,homologous,RMHL,0.7368421052631579
Adult L/R,all,all,homologous,SAADL,0.6527777777777778
Adult L/R,all,all,homologous,SAAVL,0.6666666666666666
Adult L/R,all,all,homologous,SDQL,0.6615384615384615
Adult L/R,all,all,homologous,SIADL,0.7051282051282052
Adult L/R,all,all,homologous,SIAVL,0.6103896103896104
Adult L/R,all,all,homologous,SIBDL,0.6363636363636364
Adult L/R,all,all,homologous,SIBVL,0.6574074074074074
Adult L/R,all,all,homologous,SMBDL,0.6145833333333334
Adult L/R,all,all,homologous,SMBVL,0.6781609195402298
Adult L/R,all,all,homologous,SMDDL,0.726027397260274
Adult L/R,all,all,homologous,SMDVL,0.7125
Adult L/R,all,all,homologous,URADL,0.71875
Adult L/R,all,all,homologous,URAVL,0.5957446808510638
Adult L/R,all,all,homologous,URBL,0.7058823529411765
Adult L/R,all,all,homologous,URXL,0.6206896551724138
Adult L/R,all,all,homologous,URYDL,0.6
Adult L/R,all,all,homologous,URYVL,0.7903225806451613
Adult L/R,all,all,proximal,ADAL,0.4782608695652174
Adult L/R,all,all,proximal,ADEL,0.43333333333333335
Adult L/R,all,all,proximal,ADFL,0.5606060606060606
Adult L/R,all,all,proximal,ADLL,0.5211267605633803
Adult L/R,all,all,proximal,AFDL,0.4423076923076923
Adult L/R,all,all,proximal,AIAL,0.5434782608695652
Adult L/R,all,all,proximal,AIBL,0.4700854700854701
Adult L/R,all,all,proximal,AIML,0.47058823529411764
Adult L/R,all,all,proximal,AINL,0.46153846153846156
Adult L/R,all,all,proximal,AIYL,0.5
Adult L/R,all,all,proximal,AIZL,0.5606060606060606
Adult L/R,all,all,proximal,ALML,0.4230769230769231
Adult L/R,all,all,proximal,ALNL,0.4714285714285714
Adult L/R,all,all,proximal,ASEL,0.47692307692307695
Adult L/R,all,all,proximal,ASGL,0.4473684210526316
Adult L/R,all,all,proximal,ASHL,0.5211267605633803
Adult L/R,all,all,proximal,ASIL,0.4222222222222222
Adult L/R,all,all,proximal,ASJL,0.40298507462686567
Adult L/R,all,all,proximal,ASKL,0.5434782608695652
Adult L/R,all,all,proximal,AUAL,0.4423076923076923
Adult L/R,all,all,proximal,AVAL,0.5754716981132075
Adult L/R,all,all,proximal,AVBL,0.5
Adult L/R,all,all,proximal,AVDL,0.543859649122807
Adult L/R,all,all,proximal,AVEL,0.47107438016528924
Adult L/R,all,all,proximal,AVFL,0.5142857142857142
Adult L/R,all,all,proximal,AVHL,0.44871794871794873
Adult L/R,all,all,proximal,AVJL,0.5212765957446809
Adult L/R,all,all,proximal,AVKL,0.5393258426966292
Adult L/R,all,all,proximal,AWAL,0.5625
Adult L/R,all,all,proximal,AWBL,0.5625
Adult L/R,all,all,proximal,AWCL,0.5909090909090909
Adult L/R,all,all,proximal,BAGL,0.4305555555555556
Adult L/R,all,all,proximal,BDUL,0.4915254237288136
Adult L/R,all,all,proximal,CEPDL,0.4925373134328358
Adult L/R,all,all,proximal,CEPVL,0.4
Adult L/R,all,all,proximal,FLPL,0.47058823529411764
Adult L/R,all,all,proximal,IL1DL,0.5178571428571429
Adult L/R,all,all,proximal,IL1L,0.5490196078431373
Adult L/R,all,all,proximal,IL1VL,0.7045454545454546
Adult L/R,all,all,proximal,IL2DL,0.5636363636363636
Adult L/R,all,all,proximal,IL2L,0.5490196078431373
Adult L/R,all,all,proximal,IL2VL,0.7380952380952381
Adult L/R,all,all,proximal,OLLL,0.4782608695652174
Adult L/R,all,all,proximal,OLQDL,0.5636363636363636
Adult L/R,all,all,proximal,OLQVL,0.6031746031746031
Adult L/R,all,all,proximal,PVCL,0.5584415584415584
Adult L/R,all,all,proximal,PVPL,0.36923076923076925
Adult L/R,all,all,proximal,PVQL,0.5294117647058824
Adult L/R,all,all,proximal,RIAL,0.44660194174757284
Adult L/R,all,all,proximal,RIBL,0.46078431372549017
Adult L/R,all,all,proximal,RICL,0.6283185840707964
Adult L/R,all,all,proximal,RIFL,0.5131578947368421
Adult L/R,all,all,proximal,RIGL,0.4485981308411215
Adult L/R,all,all,proximal,RIML,0.5089285714285714
Adult L/R,all,all,proximal,RIPL,0.3584905660377358
Adult L/R,all,all,proximal,RIVL,0.5888888888888889
Adult L/R,all,all,proximal,RMDDL,0.5411764705882353
Adult L/R,all,all,proximal,RMDL,0.5747126436781609
Adult L/R,all,all,proximal,RMDVL,0.5308641975308642
Adult L/R,all,all,proximal,RMEL,0.5483870967741935
Adult L/R,all,all,proximal,RMFL,0.42857142857142855
Adult L/R,all,all,proximal,RMGL,0.5862068965517241
Adult L/R,all,all,proximal,RMHL,0.5048543689320388
Adult L/R,all,all,proximal,SAADL,0.4594594594594595
Adult L/R,all,all,proximal,SAAVL,0.53125
Adult L/R,all,all,proximal,SDQL,0.4794520547945205
Adult L/R,all,all,proximal,SIADL,0.5777777777777777
Adult L/R,all,all,proximal,SIAVL,0.4945054945054945
Adult L/R,all,all,proximal,SIBDL,0.49514563106796117
Adult L/R,all,all,proximal,SIBVL,0.6017699115044248
Adult L/R,all,all,proximal,SMBDL,0.5777777777777777
Adult L/R,all,all,proximal,SMBVL,0.5862068965517241
Adult L/R,all,all,proximal,SMDDL,0.5714285714285714
Adult L/R,all,all,proximal,SMDVL,0.5888888888888889
Adult L/R,all,all,proximal,URADL,0.5217391304347826
Adult L/R,all,all,proximal,URAVL,0.7380952380952381
Adult L/R,all,all,proximal,URBL,0.45454545454545453
Adult L/R,all,all,proximal,URXL,0.4537037037037037
Adult L/R,all,all,proximal,URYDL,0.43478260869565216
Adult L/R,all,all,proximal,URYVL,0.6031746031746031
Adult L/R,all,all,proximal,ADAR,0.51
Adult L/R,all,all,proximal,ADER,0.43478260869565216
Adult L/R,all,all,proximal,ADFR,0.5769230769230769
Adult L/R,all,all,proximal,ADLR,0.4731182795698925
Adult L/R,all,all,proximal,AFDR,0.37254901960784315
Adult L/R,all,all,proximal,AIAR,0.5526315789473685
Adult L/R,all,all,proximal,AIBR,0.4793388429752066
Adult L/R,all,all,proximal,AIMR,0.4383561643835616
Adult L/R,all,all,proximal,AINR,0.391304347826087
Adult L/R,all,all,proximal,AIYR,0.46774193548387094
Adult L/R,all,all,proximal,AIZR,0.43478260869565216
Adult L/R,all,all,proximal,ALMR,0.43478260869565216
Adult L/R,all,all,proximal,ALNR,0.36231884057971014
Adult L/R,all,all,proximal,ASER,0.5205479452054794
Adult L/R,all,all,proximal,ASGR,0.5526315789473685
Adult L/R,all,all,proximal,ASHR,0.5072463768115942
Adult L/R,all,all,proximal,ASIR,0.484375
Adult L/R,all,all,proximal,ASJR,0.4716981132075472
Adult L/R,all,all,proximal,ASKR,0.4716981132075472
Adult L/R,all,all,proximal,AUAR,0.48214285714285715
Adult L/R,all,all,proximal,AVAR,0.5862068965517241
Adult L/R,all,all,proximal,AVBR,0.5371900826446281
Adult L/R,all,all,proximal,AVDR,0.543859649122807
Adult L/R,all,all,proximal,AVER,0.46017699115044247
Adult L/R,all,all,proximal,AVFR,0.5142857142857142
Adult L/R,all,all,proximal,AVHR,0.5217391304347826
Adult L/R,all,all,proximal,AVJR,0.5217391304347826
Adult L/R,all,all,proximal,AVKR,0.5393258426966292
Adult L/R,all,all,proximal,AWAR,0.5306122448979592
Adult L/R,all,all,proximal,AWBR,0.5769230769230769
Adult L/R,all,all,proximal,AWCR,0.5909090909090909
Adult L/R,all,all,proximal,BAGR,0.39080459770114945
Adult L/R,all,all,proximal,BDUR,0.417910447761194
Adult L/R,all,all,proximal,CEPDR,0.6142857142857143
Adult L/R,all,all,proximal,CEPVR,0.42857142857142855
Adult L/R,all,all,proximal,FLPR,0.47058823529411764
Adult L/R,all,all,proximal,IL1DR,0.5967741935483871
Adult L/R,all,all,proximal,IL1R,0.44871794871794873
Adult L/R,all,all,proximal,IL1VR,0.7857142857142857
Adult L/R,all,all,proximal,IL2DR,0.6101694915254238
Adult L/R,all,all,proximal,IL2R,0.44642857142857145
Adult L/R,all,all,proximal,IL2VR,0.8
Adult L/R,all,all,proximal,OLLR,0.44871794871794873
Adult L/R,all,all,proximal,OLQDR,0.6142857142857143
Adult L/R,all,all,proximal,OLQVR,0.6451612903225806
Adult L/R,all,all,proximal,PVCR,0.5584415584415584
Adult L/R,all,all,proximal,PVPR,0.5205479452054794
Adult L/R,all,all,proximal,PVQR,0.40425531914893614
Adult L/R,all,all,proximal,RIAR,0.45714285714285713
Adult L/R,all,all,proximal,RIBR,0.4375
Adult L/R,all,all,proximal,RICR,0.6283185840707964
Adult L/R,all,all,proximal,RIFR,0.5072463768115942
Adult L/R,all,all,proximal,RIGR,0.45794392523364486
Adult L/R,all,all,proximal,RIMR,0.4948453608247423
Adult L/R,all,all,proximal,RIPR,0.3829787234042553
Adult L/R,all,all,proximal,RIVR,0.5319148936170213
Adult L/R,all,all,proximal,RMDDR,0.5308641975308642
Adult L/R,all,all,proximal,RMDR,0.5747126436781609
Adult L/R,all,all,proximal,RMDVR,0.5411764705882353
Adult L/R,all,all,proximal,RMER,0.5932203389830508
Adult L/R,all,all,proximal,RMFR,0.42857142857142855
Adult L/R,all,all,proximal,RMGR,0.5
Adult L/R,all,all,proximal,RMHR,0.5196078431372549
Adult L/R,all,all,proximal,SAADR,0.5161290322580645
Adult L/R,all,all,proximal,SAAVR,0.5121951219512195
Adult L/R,all,all,proximal,SDQR,0.4794520547945205
Adult L/R,all,all,proximal,SIADR,0.5662650602409639
Adult L/R,all,all,proximal,SIAVR,0.47560975609756095
Adult L/R,all,all,proximal,SIBDR,0.5454545454545454
Adult L/R,all,all,proximal,SIBVR,0.5701754385964912
Adult L/R,all,all,proximal,SMBDR,0.5288461538461539
Adult L/R,all,all,proximal,SMBVR,0.51
Adult L/R,all,all,proximal,SMDDR,0.5783132530120482
Adult L/R,all,all,proximal,SMDVR,0.5714285714285714
Adult L/R,all,all,proximal,URADR,0.4166666666666667
Adult L/R,all,all,proximal,URAVR,0.8
Adult L/R,all,all,proximal,URBR,0.5
Adult L/R,all,all,proximal,URXR,0.4842105263157895
Adult L/R,all,all,proximal,URYDR,0.49295774647887325
Adult L/R,all,all,proximal,URYVR,0.6451612903225806
L4 L/R,all,all,homologous,ADAL,0.7560975609756098
L4 L/R,all,all,homologous,ADEL,0.6266666666666667
L4 L/R,all,all,homologous,ADFL,0.5434782608695652
L4 L/R,all,all,homologous,ADLL,0.6938775510204082
L4 L/R,all,all,homologous,AFDL,0.7083333333333334
L4 L/R,all,all,homologous,AIAL,0.6585365853658537
L4 L/R,all,all,homologous,AIBL,0.7684210526315789
L4 L/R,all,all,homologous,AIML,0.68
L4 L/R,all,all,homologous,AINL,0.7962962962962963
L4 L/R,all,all,homologous,AIYL,0.6842105263157895
L4 L/R,all,all,homologous,AIZL,0.6470588235294118
L4 L/R,all,all,homologous,ALML,0.6511627906976745
L4 L/R,all,all,homologous,ALNL,0.5476190476190477
L4 L/R,all,all,homologous,ASEL,0.75
L4 L/R,all,all,homologous,ASGL,0.5
L4 L/R,all,all,homologous,ASHL,0.6666666666666666
L4 L/R,all,all,homologous,ASIL,0.7714285714285715
L4 L/R,all,all,homologous,ASJL,0.5454545454545454
L4 L/R,all,all,homologous,ASKL,0.6756756756756757
L4 L/R,all,all,homologous,AUAL,0.6538461538461539
L4 L/R,all,all,homologous,AVAL,0.6732673267326733
L4 L/R,all,all,homologous,AVBL,0.6170212765957447
L4 L/R,all,all,homologous,AVDL,0.6020408163265306
L4 L/R,all,all,homologous,AVEL,0.7058823529411765
L4 L/R,all,all,homologous,AVFL,0.532258064516129
L4 L/R,all,all,homologous,AVHL,0.6219512195121951
L4 L/R,all,all,homologous,AVJL,0.6986301369863014
L4 L/R,all,all,homologous,AVKL,0.6056338028169014
L4 L/R,all,all,homologous,AWAL,0.5833333333333334
L4 L/R,all,all,homologous,AWBL,0.6222222222222222
L4 L/R,all,all,homologous,AWCL,0.6226415094339622
L4 L/R,all,all,homologous,BAGL,0.8088235294117647
L4 L/R,all,all,homologous,BDUL,0.5581395348837209
L4 L/R,all,all,homologous,CEPDL,0.6779661016949152
L4 L/R,all,all,homologous,CEPVL,0.7627118644067796
L4 L/R,all,all,homologous,FLPL,0.5416666666666666
L4 L/R,all,all,homologous,IL1DL,0.6
L4 L/R,all,all,homologous,IL1L,0.6481481481481481
L4 L/R,all,all,homologous,IL1VL,0.7222222222222222
L4 L/R,all,all,homologous,IL2DL,0.5
L4 L/R,all,all,homologous,IL2L,0.5925925925925926
L4 L/R,all,all,homologous,IL2VL,0.8235294117647058
L4 L/R,all,all,homologous,OLLL,0.631578947368421
L4 L/R,all,all,homologous,OLQDL,0.6226415094339622
L4 L/R,all,all,homologous,OLQVL,0.5660377358490566
L4 L/R,all,all,homologous,PVCL,0.47435897435897434
L4 L/R,all,all,homologous,PVPL,0.48214285714285715
L4 L/R,all,all,homologous,PVQL,0.4523809523809524
L4 L/R,all,all,homologous,RIAL,0.7560975609756098
