,L1-0,L1-5,L1-8,L1-16,L2-23,L3-27,JSH,Adult-50,N2U
ADAL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
ADEL,Lateral,Lateral,Lateral,Lateral,Lateral,Anterior,Lateral,Lateral,Avoidance
ADFL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ADLL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AFDL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AIAL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AIBL,Taxis,Lateral,Taxis,Taxis,Lateral,Taxis,Taxis,Taxis,Taxis
AIML,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AINL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AIYL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AIZL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ALA,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ALML,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
ALNL,Avoidance,Avoidance,Avoidance,Sublateral,Lateral,Lateral,Sublateral,Lateral,Lateral
AQR,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
ASEL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ASGL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ASHL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
ASIL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ASJL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ASKL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AUAL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AVAL,Lateral,Lateral,Lateral,Lateral,Lateral,Sublateral,Lateral,Lateral,Avoidance
AVBL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
AVDL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
AVEL,Anterior,Taxis,Taxis,Anterior,Taxis,Taxis,Anterior,Anterior,Anterior
AVFL,Avoidance,Avoidance,Avoidance,Sublateral,Taxis,Taxis,Taxis,Taxis,Taxis
AVHL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
AVJL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
AVKL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
AVL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
AVM,Avoidance,Avoidance,Avoidance,Avoidance,Lateral,Avoidance,Avoidance,Avoidance,Avoidance
AWAL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
